id,behavior
0,MB_NORMAL
1,MB_SHORT_GRASS
2,MB_NORMAL
3,MB_NORMAL
4,MB_SHORT_GRASS
5,MB_NORMAL
6,MB_NORMAL
7,MB_NORMAL
8,MB_NORMAL
9,MB_NORMAL
10,MB_NORMAL
11,MB_NORMAL
12,MB_SHORT_GRASS
13,MB_TALL_GRASS
14,MB_NORMAL
15,MB_NORMAL
16,MB_NORMAL
17,MB_NORMAL
18,MB_NORMAL
19,MB_NORMAL
20,MB_NORMAL
21,MB_NORMAL
22,MB_NORMAL
23,MB_NORMAL
24,MB_NORMAL
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_NORMAL
31,MB_NORMAL
32,MB_NORMAL
33,MB_ANIMATED_DOOR
34,MB_NORMAL
35,MB_NORMAL
36,MB_ANIMATED_DOOR
37,MB_NORMAL
38,MB_NORMAL
39,MB_SECRET_BASE_SPOT_TREE_RIGHT
40,MB_NORMAL
41,MB_NORMAL
42,MB_NORMAL
43,MB_NORMAL
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NORMAL
48,MB_NORMAL
49,MB_NORMAL
50,MB_NORMAL
51,MB_NORMAL
52,MB_NORMAL
53,MB_NORMAL
54,MB_NORMAL
55,MB_NORMAL
56,MB_NORMAL
57,MB_ANIMATED_DOOR
58,MB_NORMAL
59,MB_NORMAL
60,MB_NORMAL
61,MB_NORMAL
62,MB_NORMAL
63,MB_NORMAL
64,MB_NORMAL
65,MB_NORMAL
66,MB_NORMAL
67,MB_NORMAL
68,MB_NORMAL
69,MB_NORMAL
70,MB_NORMAL
71,MB_NORMAL
72,MB_NORMAL
73,MB_NORMAL
74,MB_NORMAL
75,MB_NORMAL
76,MB_NORMAL
77,MB_NORMAL
78,MB_NORMAL
79,MB_NORMAL
80,MB_NORMAL
81,MB_NORMAL
82,MB_NORMAL
83,MB_NORMAL
84,MB_OCEAN_WATER
85,MB_NORMAL
86,MB_NORMAL
87,MB_NORMAL
88,MB_NORMAL
89,MB_NORMAL
90,MB_NORMAL
91,MB_NORMAL
92,MB_NORMAL
93,MB_NORMAL
94,MB_NORMAL
95,MB_NORMAL
96,MB_NORMAL
97,MB_ANIMATED_DOOR
98,MB_NORMAL
99,MB_NORMAL
100,MB_NORMAL
101,MB_NORMAL
102,MB_NORMAL
103,MB_NORMAL
104,MB_NORMAL
105,MB_MOUNTAIN_TOP
106,MB_NORMAL
107,MB_NORMAL
108,MB_NORMAL
109,MB_NORMAL
110,MB_TALL_GRASS
111,MB_TALL_GRASS
112,MB_NORMAL
113,MB_MOUNTAIN_TOP
114,MB_NORMAL
115,MB_NORMAL
116,MB_NORMAL
117,MB_NORMAL
118,MB_NORMAL
119,MB_NORMAL
120,MB_NORMAL
121,MB_NORMAL
122,MB_NORMAL
123,MB_NORMAL
124,MB_NORMAL
125,MB_NORMAL
126,MB_SHORT_GRASS
127,MB_NORMAL
128,MB_NORMAL
129,MB_MOUNTAIN_TOP
130,MB_NORMAL
131,MB_NORMAL
132,MB_NORMAL
133,MB_JUMP_WEST
134,MB_JUMP_EAST
135,MB_JUMP_SOUTH
136,MB_NORMAL
137,MB_NORMAL
138,MB_NORMAL
139,MB_OCEAN_WATER
140,MB_OCEAN_WATER
141,MB_JUMP_SOUTHWEST
142,MB_JUMP_SOUTHEAST
143,MB_NORMAL
144,MB_NORMAL
145,MB_NORMAL
146,MB_NORMAL
147,MB_JUMP_SOUTH
148,MB_JUMP_SOUTH
149,MB_NORMAL
150,MB_NORMAL
151,MB_JUMP_SOUTH
152,MB_POND_WATER
153,MB_POND_WATER
154,MB_POND_WATER
155,MB_OCEAN_WATER
156,MB_OCEAN_WATER
157,MB_NORMAL
158,MB_JUMP_SOUTH
159,MB_NORMAL
160,MB_OCEAN_WATER
161,MB_OCEAN_WATER
162,MB_OCEAN_WATER
163,MB_NORMAL
164,MB_NORMAL
165,MB_JUMP_WEST
166,MB_JUMP_EAST
167,MB_ANIMATED_DOOR
168,MB_NORMAL
169,MB_NORMAL
170,MB_NORMAL
171,MB_OCEAN_WATER
172,MB_OCEAN_WATER
173,MB_JUMP_SOUTHWEST
174,MB_JUMP_SOUTHEAST
175,MB_NORMAL
176,MB_OCEAN_WATER
177,MB_OCEAN_WATER
178,MB_OCEAN_WATER
179,MB_WATERFALL
180,MB_NORMAL
181,MB_NO_RUNNING
182,MB_NORMAL
183,MB_NO_RUNNING
184,MB_OCEAN_WATER
185,MB_WATERFALL
186,MB_OCEAN_WATER
187,MB_WATERFALL
188,MB_WATERFALL
189,MB_NORMAL
190,MB_NORMAL
191,MB_NORMAL
192,MB_OCEAN_WATER
193,MB_OCEAN_WATER
194,MB_OCEAN_WATER
195,MB_OCEAN_WATER
196,MB_OCEAN_WATER
197,MB_NORMAL
198,MB_NORMAL
199,MB_NORMAL
200,MB_PUDDLE
201,MB_PUDDLE
202,MB_PUDDLE
203,MB_NORMAL
204,MB_NORMAL
205,MB_NORMAL
206,MB_NORMAL
207,MB_NORMAL
208,MB_PUDDLE
209,MB_PUDDLE
210,MB_PUDDLE
211,MB_NORMAL
212,MB_NORMAL
213,MB_JUMP_SOUTH
214,MB_JUMP_SOUTH
215,MB_MOUNTAIN_TOP
216,MB_PUDDLE
217,MB_PUDDLE
218,MB_PUDDLE
219,MB_NORMAL
220,MB_NO_RUNNING
221,MB_JUMP_SOUTH
222,MB_JUMP_SOUTH
223,MB_NORMAL
224,MB_TALL_GRASS
225,MB_TALL_GRASS
226,MB_NORMAL
227,MB_NORMAL
228,MB_NORMAL
229,MB_JUMP_SOUTH
230,MB_JUMP_SOUTH
231,MB_NORMAL
232,MB_NORMAL
233,MB_NORMAL
234,MB_NORMAL
235,MB_NORMAL
236,MB_NORMAL
237,MB_NORMAL
238,MB_NORMAL
239,MB_NORMAL
240,MB_NORMAL
241,MB_NORMAL
242,MB_NORMAL
243,MB_NORMAL
244,MB_NORMAL
245,MB_NORMAL
246,MB_NORMAL
247,MB_NORMAL
248,MB_NORMAL
249,MB_NORMAL
250,MB_NO_RUNNING
251,MB_NO_RUNNING
252,MB_NORMAL
253,MB_NORMAL
254,MB_JUMP_WEST
255,MB_JUMP_EAST
256,MB_NORMAL
257,MB_NORMAL
258,MB_NORMAL
259,MB_NORMAL
260,MB_NORMAL
261,MB_NORMAL
262,MB_JUMP_WEST
263,MB_JUMP_EAST
264,MB_NORMAL
265,MB_NORMAL
266,MB_NORMAL
267,MB_NORMAL
268,MB_BERRY_TREE_SOIL
269,MB_NORMAL
270,MB_NORMAL
271,MB_NORMAL
272,MB_NORMAL
273,MB_NORMAL
274,MB_NORMAL
275,MB_NORMAL
276,MB_NORMAL
277,MB_NORMAL
278,MB_NORMAL
279,MB_OCEAN_WATER
280,MB_NORMAL
281,MB_NORMAL
282,MB_NORMAL
283,MB_OCEAN_WATER
284,MB_SAND
285,MB_OCEAN_WATER
286,MB_JUMP_WEST
287,MB_JUMP_EAST
288,MB_NORMAL
289,MB_NORMAL
290,MB_NORMAL
291,MB_OCEAN_WATER
292,MB_SAND
293,MB_OCEAN_WATER
294,MB_JUMP_WEST
295,MB_JUMP_EAST
296,MB_NORMAL
297,MB_NORMAL
298,MB_NORMAL
299,MB_OCEAN_WATER
300,MB_OCEAN_WATER
301,MB_OCEAN_WATER
302,MB_BERRY_TREE_SOIL
303,MB_BERRY_TREE_SOIL
304,MB_NORMAL
305,MB_NORMAL
306,MB_NORMAL
307,MB_NORMAL
308,MB_NORMAL
309,MB_INTERIOR_DEEP_WATER
310,MB_NORMAL
311,MB_NORMAL
312,MB_NORMAL
313,MB_NORMAL
314,MB_NORMAL
315,MB_NORMAL
316,MB_NORMAL
317,MB_SAND
318,MB_SAND
319,MB_INTERIOR_DEEP_WATER
320,MB_NORMAL
321,MB_NORMAL
322,MB_NORMAL
323,MB_NORMAL
324,MB_SHALLOW_WATER
325,MB_OCEAN_WATER
326,MB_OCEAN_WATER
327,MB_INTERIOR_DEEP_WATER
328,MB_NORMAL
329,MB_NORMAL
330,MB_NORMAL
331,MB_NORMAL
332,MB_NORMAL
333,MB_NORMAL
334,MB_INTERIOR_DEEP_WATER
335,MB_INTERIOR_DEEP_WATER
336,MB_NORMAL
337,MB_NORMAL
338,MB_NORMAL
339,MB_NORMAL
340,MB_NORMAL
341,MB_NORMAL
342,MB_NORMAL
343,MB_NORMAL
344,MB_NORMAL
345,MB_NORMAL
346,MB_NORMAL
347,MB_NORMAL
348,MB_NORMAL
349,MB_NORMAL
350,MB_NORMAL
351,MB_NORMAL
352,MB_NORMAL
353,MB_NORMAL
354,MB_NORMAL
355,MB_NORMAL
356,MB_NORMAL
357,MB_NORMAL
358,MB_NORMAL
359,MB_NORMAL
360,MB_NORMAL
361,MB_NORMAL
362,MB_NORMAL
363,MB_NORMAL
364,MB_NORMAL
365,MB_NORMAL
366,MB_NORMAL
367,MB_NORMAL
368,MB_OCEAN_WATER
369,MB_NORMAL
370,MB_NORMAL
371,MB_MOUNTAIN_TOP
372,MB_NORMAL
373,MB_NORMAL
374,MB_NORMAL
375,MB_OCEAN_WATER
376,MB_NORMAL
377,MB_NORMAL
378,MB_NORMAL
379,MB_NORMAL
380,MB_NORMAL
381,MB_NORMAL
382,MB_OCEAN_WATER
383,MB_OCEAN_WATER
384,MB_NORMAL
385,MB_NORMAL
386,MB_NORMAL
387,MB_JUMP_SOUTH
388,MB_NORMAL
389,MB_SHALLOW_WATER
390,MB_SHALLOW_WATER
391,MB_OCEAN_WATER
392,MB_OCEAN_WATER
393,MB_OCEAN_WATER
394,MB_OCEAN_WATER
395,MB_JUMP_SOUTH
396,MB_NORMAL
397,MB_SHALLOW_WATER
398,MB_SHALLOW_WATER
399,MB_OCEAN_WATER
400,MB_OCEAN_WATER
401,MB_NORMAL
402,MB_OCEAN_WATER
403,MB_JUMP_WEST
404,MB_NORMAL
405,MB_NORMAL
406,MB_NORMAL
407,MB_NORMAL
408,MB_OCEAN_WATER
409,MB_OCEAN_WATER
410,MB_OCEAN_WATER
411,MB_NORMAL
412,MB_NORMAL
413,MB_NORMAL
414,MB_SAND
415,MB_NORMAL
416,MB_NORMAL
417,MB_NORMAL
418,MB_NORMAL
419,MB_NORMAL
420,MB_NORMAL
421,MB_NORMAL
422,MB_NORMAL
423,MB_NORMAL
424,MB_NORMAL
425,MB_NORMAL
426,MB_NORMAL
427,MB_OCEAN_WATER
428,MB_OCEAN_WATER
429,MB_NORMAL
430,MB_NORMAL
431,MB_OCEAN_WATER
432,MB_NORMAL
433,MB_NORMAL
434,MB_NORMAL
435,MB_NORMAL
436,MB_NORMAL
437,MB_OCEAN_WATER
438,MB_OCEAN_WATER
439,MB_NORMAL
440,MB_NORMAL
441,MB_TALL_GRASS
442,MB_OCEAN_WATER
443,MB_OCEAN_WATER
444,MB_TALL_GRASS
445,MB_TALL_GRASS
446,MB_TALL_GRASS
447,MB_TALL_GRASS
448,MB_NORMAL
449,MB_NORMAL
450,MB_OCEAN_WATER
451,MB_OCEAN_WATER
452,MB_NORMAL
453,MB_NORMAL
454,MB_TALL_GRASS
455,MB_TALL_GRASS
456,MB_TALL_GRASS
457,MB_TALL_GRASS
458,MB_NORMAL
459,MB_NORMAL
460,MB_NORMAL
461,MB_ANIMATED_DOOR
462,MB_NORMAL
463,MB_NORMAL
464,MB_NORMAL
465,MB_NORMAL
466,MB_NORMAL
467,MB_NORMAL
468,MB_NORMAL
469,MB_NORMAL
470,MB_NORMAL
471,MB_NORMAL
472,MB_NORMAL
473,MB_NORMAL
474,MB_NORMAL
475,MB_ANIMATED_DOOR
476,MB_NORMAL
477,MB_NORMAL
478,MB_NORMAL
479,MB_NORMAL
480,MB_NORMAL
481,MB_NORMAL
482,MB_NORMAL
483,MB_NORMAL
484,MB_NORMAL
485,MB_NORMAL
486,MB_NORMAL
487,MB_NORMAL
488,MB_NORMAL
489,MB_NORMAL
490,MB_NORMAL
491,MB_NORMAL
492,MB_NORMAL
493,MB_NORMAL
494,MB_NORMAL
495,MB_NORMAL
496,MB_NORMAL
497,MB_NORMAL
498,MB_NORMAL
499,MB_NORMAL
500,MB_NORMAL
501,MB_NORMAL
502,MB_OCEAN_WATER
503,MB_OCEAN_WATER
504,MB_NORMAL
505,MB_NORMAL
506,MB_OCEAN_WATER
507,MB_OCEAN_WATER
508,MB_NORMAL
509,MB_NORMAL
510,MB_POND_WATER
511,MB_NORMAL
